timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1650707342856,1744,Open registration page Request,200,OK,Thread Group of 100 users 1-1,text,true,,6397,252,1,3,https://blazedemo.com/register,945,0,526
1650707342856,1744,Open registration page Request,200,OK,Thread Group of 300 users 3-1,text,true,,6397,252,2,3,https://blazedemo.com/register,945,0,526
1650707342856,947,Open registration page Request-0,302,Found,Thread Group of 100 users 1-1,text,true,,227,126,1,3,http://blazedemo.com/register,945,0,526
1650707342856,947,Open registration page Request-0,302,Found,Thread Group of 300 users 3-1,text,true,,227,126,2,3,http://blazedemo.com/register,945,0,526
1650707343806,794,Open registration page Request-1,200,OK,Thread Group of 100 users 1-1,text,true,,6170,126,1,3,https://blazedemo.com/register,790,0,311
1650707343806,794,Open registration page Request-1,200,OK,Thread Group of 300 users 3-1,text,true,,6170,126,2,3,https://blazedemo.com/register,790,0,311
1650707343813,1036,Open registration page Request,200,OK,Thread Group of 300 users 3-2,text,true,,6403,252,3,4,https://blazedemo.com/register,323,0,42
1650707343813,323,Open registration page Request-0,302,Found,Thread Group of 300 users 3-2,text,true,,227,126,3,4,http://blazedemo.com/register,323,0,42
1650707344139,710,Open registration page Request-1,200,OK,Thread Group of 300 users 3-2,text,true,,6176,126,3,4,https://blazedemo.com/register,708,0,279
1650707344604,668,Perform registration,200,OK,Thread Group of 100 users 1-1,text,true,,6399,518,1,4,https://blazedemo.com/register,271,0,0
1650707344604,271,Perform registration-0,302,Found,Thread Group of 100 users 1-1,text,true,,227,392,1,4,http://blazedemo.com/register,271,0,0
1650707344876,396,Perform registration-1,200,OK,Thread Group of 100 users 1-1,text,true,,6172,126,1,4,https://blazedemo.com/register,386,0,0
1650707344602,672,Perform registration,200,OK,Thread Group of 300 users 3-1,text,true,,6399,518,3,4,https://blazedemo.com/register,273,0,0
1650707344602,273,Perform registration-0,302,Found,Thread Group of 300 users 3-1,text,true,,227,392,3,4,http://blazedemo.com/register,273,0,0
